T5E40 000:006.294   SEGGER J-Link V7.96h Log File
T5E40 000:006.438   DLL Compiled: May 15 2024 15:33:59
T5E40 000:006.468   Logging started @ 2025-12-24 16:47
T5E40 000:006.502   Process: C:\Keil_v5\UV4\UV4.exe
T5E40 000:006.518 - 6.514ms
T5E40 000:006.534 JLINK_SetWarnOutHandler(...)
T5E40 000:006.544 - 0.013ms
T5E40 000:006.564 JLINK_OpenEx(...)
T5E40 000:010.901   Firmware: J-Link ARM-OB STM32 compiled Aug 22 2012 19:52:04
T5E40 000:014.092   Firmware: J-Link ARM-OB STM32 compiled Aug 22 2012 19:52:04
T5E40 000:019.146   Hardware: V7.00
T5E40 000:019.191   S/N: 4294967295
T5E40 000:019.206   OEM: SEGGER
T5E40 000:019.230   Feature(s): None
T5E40 000:020.293   Bootloader: (Could not read)
T5E40 000:023.139   TELNET listener socket opened on port 19021
T5E40 000:023.447   WEBSRV WEBSRV_Init(): Starting webserver thread(s)
T5E40 000:023.677   WEBSRV Webserver running on local port 19080
T5E40 000:023.770   Looking for J-Link GUI Server exe at: C:\Keil_v5\ARM\Segger\JLinkGUIServer.exe
T5E40 000:023.881   Looking for J-Link GUI Server exe at: C:\J-Link\JLinkGUIServer.exe
T5E40 000:329.090   Failed to connect to J-Link GUI Server.
T5E40 000:329.160 - 322.566ms returns "O.K."
T5E40 000:329.179 JLINK_GetEmuCaps()
T5E40 000:329.188 - 0.005ms returns 0x88EA5833
T5E40 000:329.204 JLINK_TIF_GetAvailable(...)
T5E40 000:329.970 - 0.767ms
T5E40 000:329.988 JLINK_SetErrorOutHandler(...)
T5E40 000:329.992 - 0.004ms
T5E40 000:330.016 JLINK_ExecCommand("ProjectFile = "C:\T1\eight_ir_oled\keil\JLinkSettings.ini"", ...). 
T5E40 000:450.417 - 120.402ms returns 0x00
T5E40 000:454.393 JLINK_ExecCommand("Device = MSPM0G3507", ...). 
T5E40 000:460.528   Device "MSPM0G3507" selected.
T5E40 000:460.829 - 6.413ms returns 0x00
T5E40 000:460.840 JLINK_ExecCommand("DisableConnectionTimeout", ...). 
T5E40 000:460.848 - 0.001ms returns 0x01
T5E40 000:460.854 JLINK_GetHardwareVersion()
T5E40 000:460.859 - 0.005ms returns 70000
T5E40 000:460.864 JLINK_GetDLLVersion()
T5E40 000:460.868 - 0.003ms returns 79608
T5E40 000:460.873 JLINK_GetOEMString(...)
T5E40 000:460.878 JLINK_GetFirmwareString(...)
T5E40 000:460.882 - 0.004ms
T5E40 000:471.748 JLINK_GetDLLVersion()
T5E40 000:471.777 - 0.028ms returns 79608
T5E40 000:471.783 JLINK_GetCompileDateTime()
T5E40 000:471.787 - 0.004ms
T5E40 000:475.196 JLINK_GetFirmwareString(...)
T5E40 000:475.215 - 0.018ms
T5E40 000:478.766 JLINK_GetHardwareVersion()
T5E40 000:478.783 - 0.017ms returns 70000
T5E40 000:482.412 JLINK_GetSN()
T5E40 000:482.434 - 0.021ms returns -1
T5E40 000:482.439 JLINK_GetOEMString(...)
T5E40 000:485.782 JLINK_TIF_Select(JLINKARM_TIF_JTAG)
T5E40 000:490.147 - 4.364ms returns 0x00
T5E40 000:490.169 JLINK_HasError()
T5E40 000:490.185 JLINK_SetSpeed(5000)
T5E40 000:491.068 - 0.886ms
T5E40 000:491.090 JLINK_GetIdData(pIdData)
T5E40 000:497.488   InitTarget() start
T5E40 000:497.518    J-Link Script File: Executing InitTarget()
T5E40 000:505.728   Could not measure total IR len. TDO is constant high.
T5E40 000:515.925   Could not measure total IR len. TDO is constant high.
T5E40 000:525.332   Could not measure total IR len. TDO is constant high.
T5E40 000:536.223   Could not measure total IR len. TDO is constant high.
T5E40 000:546.154   Could not measure total IR len. TDO is constant high.
T5E40 000:555.050   Could not measure total IR len. TDO is constant high.
T5E40 000:565.350   Could not measure total IR len. TDO is constant high.
T5E40 000:575.923   Could not measure total IR len. TDO is constant high.
T5E40 000:585.487   Could not measure total IR len. TDO is constant high.
T5E40 000:596.460   Could not measure total IR len. TDO is constant high.
T5E40 000:607.309   Could not measure total IR len. TDO is constant high.
T5E40 000:617.376   Could not measure total IR len. TDO is constant high.
T5E40 000:628.099   Could not measure total IR len. TDO is constant high.
T5E40 000:639.184   Could not measure total IR len. TDO is constant high.
T5E40 000:649.929   Could not measure total IR len. TDO is constant high.
T5E40 000:659.743   Could not measure total IR len. TDO is constant high.
T5E40 000:670.437   Could not measure total IR len. TDO is constant high.
T5E40 000:727.044   Could not measure total IR len. TDO is constant high.
T5E40 000:737.421   Could not measure total IR len. TDO is constant high.
T5E40 000:747.203   Could not measure total IR len. TDO is constant high.
T5E40 000:756.995   Could not measure total IR len. TDO is constant high.
T5E40 000:767.077   Could not measure total IR len. TDO is constant high.
T5E40 000:777.684   Could not measure total IR len. TDO is constant high.
T5E40 000:787.895   Could not measure total IR len. TDO is constant high.
T5E40 000:797.511   Could not measure total IR len. TDO is constant high.
T5E40 000:807.080   Could not measure total IR len. TDO is constant high.
T5E40 000:817.374   Could not measure total IR len. TDO is constant high.
T5E40 000:827.063   Could not measure total IR len. TDO is constant high.
T5E40 000:837.230   Could not measure total IR len. TDO is constant high.
T5E40 000:847.080   Could not measure total IR len. TDO is constant high.
T5E40 000:857.372   Could not measure total IR len. TDO is constant high.
T5E40 000:868.688   Could not measure total IR len. TDO is constant high.
T5E40 000:878.992   Could not measure total IR len. TDO is constant high.
T5E40 000:891.202   Could not measure total IR len. TDO is constant high.
T5E40 000:928.126   Could not measure total IR len. TDO is constant high.
T5E40 000:944.598   Could not measure total IR len. TDO is constant high.
T5E40 000:956.319   Could not measure total IR len. TDO is constant high.
T5E40 000:967.332   Could not measure total IR len. TDO is constant high.
T5E40 000:978.195   Could not measure total IR len. TDO is constant high.
T5E40 000:989.959   Could not measure total IR len. TDO is constant high.
T5E40 001:001.652   Could not measure total IR len. TDO is constant high.
T5E40 001:011.667   Could not measure total IR len. TDO is constant high.
T5E40 001:022.485   Could not measure total IR len. TDO is constant high.
T5E40 001:033.446   Could not measure total IR len. TDO is constant high.
T5E40 001:042.198   Could not measure total IR len. TDO is constant high.
T5E40 001:051.707   Could not measure total IR len. TDO is constant high.
T5E40 001:063.156   Could not measure total IR len. TDO is constant high.
T5E40 001:073.207   Could not measure total IR len. TDO is constant high.
T5E40 001:083.373   Could not measure total IR len. TDO is constant high.
T5E40 001:095.665   Could not measure total IR len. TDO is constant high.
T5E40 001:113.113   Could not measure total IR len. TDO is constant high.
T5E40 001:144.386   Could not measure total IR len. TDO is constant high.
T5E40 001:160.729   Could not measure total IR len. TDO is constant high.
T5E40 001:171.154   Could not measure total IR len. TDO is constant high.
T5E40 001:180.397   Could not measure total IR len. TDO is constant high.
